MICRO1280,MICRO1530,MICRO1790,MICRO2040,MICRO2300,MICRO2550,MICRO2800,MICRO3060,MICRO3300,MICRO3570,MICRO3820,MICRO12830,MICRO15330,MICRO17930,MICRO20430,MICRO23030,MICRO25530,MICRO28030,MICRO30630,MICRO33030,MICRO35730,MICRO38230,MICRO12860,MICRO15360,MICRO17960,MICRO20460,MICRO23060,MICRO25560,MICRO28060,MICRO30660,MICRO33060,MICRO35760,MICRO38260,MICRO12890,MICRO15390,MICRO17990,MICRO20490,MICRO23090,MICRO25590,MICRO28090,MICRO30690,MICRO33090,MICRO35790,MICRO38290,MICRO128120,MICRO153120,MICRO179120,MICRO204120,MICRO230120,MICRO255120,MICRO280120,MICRO306120,MICRO330120,MICRO357120,MICRO382120,MICRO128150,MICRO153150,MICRO179150,MICRO204150,MICRO230150,MICRO255150,MICRO280150,MICRO306150,MICRO330150,MICRO357150,MICRO382150
13,11,12,14,8,14,8,9,11,10,13,17,13,14,15,13,14,15,16,11,18,16,16,20,18,15,12,14,11,11,10,9,15,17,18,17,9,11,14,8,12,6,14,10,19,16,14,9,8,14,7,13,10,11,14,16,18,9,9,8,14,5,14,14,15,12
16,14,10,6,8,10,10,14,14,14,14,18,16,16,8,10,10,12,14,14,10,14,14,14,14,10,6,10,10,12,12,14,16,14,16,12,12,6,10,11,10,14,12,14,12,14,16,12,6,10,10,14,12,14,12,12,16,16,12,12,10,11,12,14,16,16
12,8,8,11,9,11,15,13,10,17,13,14,4,8,7,9,11,12,12,10,15,15,14,11,4,10,11,11,3,17,14,13,16,14,13,0,12,15,11,13,13,11,12,13,13,16,9,7,11,11,11,7,11,12,14,13,16,11,16,11,11,11,8,11,9,17
17,20,18,19,14,19,20,20,20,19,20,19,20,20,20,18,19,20,20,20,20,20,20,20,20,15,19,19,17,18,19,19,15,20,18,20,19,20,19,17,14,19,20,16,19,19,20,20,19,19,18,14,18,19,16,20,20,20,20,20,19,12,17,19,19,18
20,16,17,8,5,5,6,15,18,18,19,19,18,19,13,7,6,3,13,17,16,17,17,19,18,13,12,6,6,7,16,15,15,18,12,14,13,10,6,3,7,17,16,17,20,17,15,13,9,6,5,10,15,17,19,18,18,14,9,7,6,5,6,13,16,18
18,20,16,20,20,20,20,20,16,18,18,20,10,10,14,16,20,20,16,18,20,20,18,16,18,16,20,20,20,18,16,16,14,20,18,20,20,16,20,12,14,16,20,14,16,18,20,18,16,20,14,14,18,20,16,20,20,20,18,20,20,16,16,18,18,18
20,20,13,7,1,5,2,12,20,20,19,20,20,10,3,3,5,10,15,19,20,20,20,17,14,7,6,5,11,16,17,19,18,20,20,17,17,5,5,6,16,20,20,17,20,20,20,14,6,5,5,12,14,18,20,20,19,15,17,10,5,4,8,19,20,20
16,17,18,12,5,12,12,18,18,19,18,16,18,19,18,6,12,10,16,13,18,16,16,16,15,19,9,12,9,7,5,5,7,0,0,3,8,13,12,8,10,10,8,12,10,12,15,16,18,12,9,7,12,8,0,15,18,16,17,15,12,4,18,13,14,7
9,8,4,3,1,5,11,18,16,16,12,11,13,8,4,3,5,15,15,15,13,14,2,10,10,8,4,5,9,13,15,11,10,12,8,8,0,6,5,12,11,11,10,7,11,13,14,11,7,5,5,11,12,9,5,14,17,14,15,12,5,0,6,9,12,10
12,7,4,0,2,4,7,9,14,14,13,13,0,0,2,4,4,6,8,4,17,10,9,9,5,0,7,4,8,6,11,11,12,6,0,0,0,6,4,2,2,4,4,10,10,6,0,6,2,4,7,1,2,8,10,14,11,4,12,6,4,7,5,0,10,9
17,20,20,20,20,19,20,20,20,20,20,20,18,20,20,20,19,20,19,20,20,20,16,20,17,17,20,19,19,14,20,19,10,13,13,13,18,20,19,17,20,19,18,16,17,19,16,14,20,19,18,20,19,17,14,15,20,20,17,20,19,20,20,19,17,18
14,9,12,7,10,10,15,15,17,15,18,12,12,9,10,8,10,17,16,17,16,18,17,18,13,15,9,10,14,16,16,14,18,14,16,18,14,8,10,8,13,13,16,13,15,18,20,14,10,10,9,10,10,11,11,14,17,16,18,15,10,2,6,8,13,9
17,18,15,16,14,10,12,15,16,14,18,17,16,15,16,14,10,16,15,16,17,16,17,18,18,17,11,10,11,17,17,15,16,18,18,16,14,12,10,16,15,15,14,11,18,18,15,15,11,10,10,14,14,14,14,15,14,13,16,9,10,12,14,17,15,13
