Fertilizer,Germinated,Weight,Surface,Surface2
0,1,6.03,12.54,157.2516
0,1,4.2,14.81,219.3361
0,1,4.49,16.71,279.2241
0,1,2,7.53,56.7009
0,1,2.84,7.02,49.2804
0,1,3.88,8.09,65.4481
0,1,2.04,5.76,33.1776
0,1,5.48,18.01,324.3601
0,1,2.31,8.81,77.6161
0,1,1.9,8.17,66.7489
0,1,1.75,6.62,43.8244
0,1,3.02,7.69,59.1361
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
1,1,3.31,18.49,341.8801
1,1,6.56,19.2,368.64
1,1,3.16,9.85,97.0225
1,1,4.07,15.83,250.5889
1,1,2.09,6.16,37.9456
1,1,6.72,17.58,309.0564
1,1,3.93,19.29,372.1041
1,1,2.56,10.77,115.9929
1,1,8.3,18.81,353.8161
1,1,4.21,10.56,111.5136
1,1,1.86,9.48,89.8704
1,1,3.09,12.54,157.2516
1,1,5.09,18.35,336.7225
1,1,4.08,11.84,140.1856
1,1,3.63,11.44,130.8736
1,1,2.61,7.66,58.6756
1,1,5.21,12,144
1,0,,,
1,0,,,
1,0,,,
