group,bregma_x,bregma_y,rhinion_x,rhinion_y,ns_x,ns_y,pr_x,pr_y,cb_x,cb_y,ct_x,ct_y,au_x,au_y,ms_x,ms_y
1,0.3406,0.2909,-0.1585,0.1398,-0.2488,0.0232,-0.3203,-0.0326,-0.2369,-0.0213,-0.2720,-0.1198,0.4479,-0.0997,0.4479,-0.1806
1,0.3624,0.3206,-0.1658,0.1366,-0.2368,0.0254,-0.3149,-0.0578,-0.2395,-0.0344,-0.2690,-0.0956,0.4272,-0.1017,0.4363,-0.1931
1,0.3274,0.3217,-0.1650,0.1399,-0.2486,0.0281,-0.3187,-0.0402,-0.2206,-0.0263,-0.2624,-0.1088,0.4372,-0.1188,0.4508,-0.1956
1,0.3021,0.3235,-0.1758,0.1388,-0.2525,0.0304,-0.3102,-0.0273,-0.2228,-0.0455,-0.2497,-0.0892,0.4559,-0.1281,0.4528,-0.2025
0,0.3653,0.2305,-0.1401,0.1433,-0.2767,0.0297,-0.3188,-0.0167,-0.2563,-0.0420,-0.2764,-0.1295,0.4608,-0.0742,0.4422,-0.1410
0,0.3534,0.2142,-0.1565,0.1342,-0.2670,0.0275,-0.3292,-0.0097,-0.2563,-0.0296,-0.2681,-0.1252,0.4713,-0.0654,0.4522,-0.1461
0,0.2644,0.2402,-0.1353,0.1524,-0.2729,0.0430,-0.3195,-0.0125,-0.2411,-0.0148,-0.2621,-0.1326,0.4849,-0.1009,0.4815,-0.1748
0,0.3085,0.2349,-0.1246,0.1405,-0.2676,0.0240,-0.3192,-0.0195,-0.2608,-0.0142,-0.2806,-0.1217,0.4747,-0.0861,0.4696,-0.1578
0,0.3986,0.2399,-0.1491,0.1312,-0.2763,0.0176,-0.3130,-0.0261,-0.2555,-0.0261,-0.2796,-0.1273,0.4254,-0.0618,0.4495,-0.1474
0,0.3593,0.2469,-0.1742,0.1483,-0.2607,0.0303,-0.3335,-0.0275,-0.2357,-0.0177,-0.2551,-0.1370,0.4558,-0.0855,0.4440,-0.1577
0,0.3258,0.2237,-0.1250,0.1381,-0.2757,0.0261,-0.3120,-0.0319,-0.2693,-0.0252,-0.2831,-0.1039,0.4754,-0.0740,0.4638,-0.1529
0,0.4154,0.2320,-0.1544,0.1243,-0.2914,0.0112,-0.3167,-0.0198,-0.2483,-0.0459,-0.2726,-0.1084,0.4442,-0.0568,0.4237,-0.1366
