Panelist,Fragr,Blo_Stren,Blo_Pleas,Blo_Appro,Dry_Stren,Dry_Pleas,Dry_Appro,Lon_Stren,Lon_Pleas,Lon_Appro,Nea_Stren,Nea_Pleas,Nea_Appro,Wet_Stren,Wet_Pleas,Wet_Appro
1,r,4,4.5,1,4.5,5,2,5,4,1,4.5,3,2,3.5,6,1
2,r,2.5,5.5,2,5,6,1,4,4,2,5,3.5,2,2,4,2
3,r,3,4,1,5,5,2,4,3,2,5,3,2,3.5,2,1
4,r,5,4.5,2,5,4,2,7,6,1,4.5,4.5,2,2,6,2
5,r,4.5,7,1,4,5,1,5,2,2,6,5,2,2.5,3,1
6,r,3,4.5,1,4,5,2,5,4,2,7,4,2,3,5,2
7,r,4,4,1,4.5,4,2,4,3,1,5,3,1,6,3,1
1,s,1,2,2,4,6,1,6,2,1,5,4,1,6,5,2
2,s,2.5,2.5,1,3.5,4,2,3,4,1,5,2,1,7,4,1
3,s,3.5,3,1,5,4,2,4,3,2,6,2,2,5,3,2
4,s,3,2,1,4,5,2,4,6,2,5.5,5,2,6,4,2
5,s,4,3,1,5,6,1,3,5,1,7,1,2,6,6,1
6,s,3,4,2,4,4,1,1,5,1,6,5,2,5,4,2
7,s,3,2,2,5,2,2,3,3,2,4.5,2,2,4.5,2,2
1,t,4,2,1,3.5,5,1,7,1,1,6,5,1,5,6,1
2,t,4,1.5,2,4,4,1,2,4,1,6,2,2,6,1,2
3,t,3.5,2,2,4.5,4,1,5,3,2,5.5,4,1,5,2,2
4,t,3,3,2,3.5,5,2,5,6,2,7,7,1,5,3,1
5,t,3,1.5,1,3,3,2,3,2,2,6,1,2,5,5,2
6,t,2,2,2,4,4,2,4,5,2,6,5,2,4,6,1
7,t,3.5,2,2,3.5,5,1,4.5,1,2,4.5,3,2,3.5,3,2
1,v,4,6,2,4.5,6.5,2,5,3,1,5.5,4,2,6,2,2
2,v,3,7,1,5,7,2,5,5,1,6,2,2,4.5,6,2
3,v,4,6,2,6,5.5,1,6,3,1,6,4,1,5,2,2
4,v,3,5.5,1,5,5,2,4,6,2,4,6,2,5,5,2
5,v,4.5,6,2,5,6,2,5,6,1,6,2,2,3,6,1
6,v,3,6,1,5,6,2,4,4,2,6,4,1,3,5,2
7,v,4.5,5.5,2,4,5,2,3.5,4,2,5,3,2,5.5,4,2
1,w,4,2,2,4,3,1,7,5,1,5.5,2,2,6,2,2
2,w,4,2.5,1,3.5,3,1,3,4,2,5,4,2,6,1,2
3,w,3,3,1,4,4,2,4,3,2,4,2,1,7,4,1
4,w,5,2.5,2,4,4,2,5,4.5,1,7,6,2,6,5,2
5,w,3,3.5,1,5,3,1,4,6,1,6,6,2,6,6,2
6,w,3.5,3,1,4,3,1,3,3,2,7,5,1,6,2,2
7,w,3,5,2,4,4,1,5,3,2,6,1,2,6,2,2
1,x,1,3,1,3,5,2,4,2,1,7,1,1,3.5,3,2
2,x,4.5,2.5,2,3.5,5,2,1,3,2,6,2,1,3.5,5,1
3,x,4,3,2,1,3.5,1,2.5,3,2,5,2,2,4,6,2
4,x,1,2,2,2,5,2,5,2,1,7,5,2,5,5,2
5,x,2,3,1,2,6,2,2,3,1,6,6,1,4,7,1
6,x,3,2.5,2,3,5,2,1,2,1,6,6,1,4,6,1
7,x,2,2,2,3,5,1,2,1,2,7,4.5,2,5,3,2
